#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 3374583552; Victor Antonio Garcia Sanchez; 31; 18; 25/05/2020; 25/05/2038; 14; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 515; 2691662321; Gonzalo Cesar Cevallos Hidalgo; 45; 26; 25/08/2000; 25/08/2026; 2; 4(D); D75; Bajo; 4 Hora(s); Invasion
PPL 516; 5117182661; Victor Adrian Garcia Rivera; 36; 19; 03/08/2011; 03/08/2030; 6; 4(D); D76; Bajo; 4 Hora(s); Otros
PPL 517; 3213235648; Mario Cesar Guerrero Reyes; 37; 16; 01/09/2014; 01/09/2030; 6; 4(D); D77; Bajo; 4 Hora(s); Amenazas
PPL 518; 5654523982; Pedro Julian Romero Sanchez; 66; 48; 16/03/1980; 16/03/2028; 4; 4(D); D78; Bajo; 4 Hora(s); Invasion
PPL 519; 9426266027; Gonzalo Antonio Cuenca Roman; 49; 30; 11/02/1996; 11/02/2026; 2; 4(D); D79; Bajo; 4 Hora(s); Amenazas
PPL 520; 3515722594; Mario Angel Romero Reyes; 49; 36; 06/03/1994; 06/03/2030; 6; 4(D); D80; Bajo; 4 Hora(s); Estafa
PPL 521; 1819156680; Pedro Angel Cuenca Sanchez; 46; 33; 02/03/1997; 02/03/2030; 6; 4(D); D81; Bajo; 4 Hora(s); Otros
PPL 522; 3828718007; Fabian Antonio Cevallos Hidalgo; 63; 49; 01/03/1981; 01/03/2030; 6; 4(D); D82; Bajo; 4 Hora(s); Amenazas
PPL 523; 8361536657; Mario Antonio Romero Sanchez; 33; 15; 12/06/2011; 12/06/2026; 2; 4(D); D83; Bajo; 4 Hora(s); Estafa
PPL 524; 7016919122; Victor Cesar Garcia Espinosa; 30; 13; 14/02/2015; 14/02/2028; 4; 4(D); D84; Bajo; 4 Hora(s); Amenazas
PPL 525; 8631470346; Fabian Paulo Romero Morales; 34; 19; 07/09/2011; 07/09/2030; 6; 4(D); D85; Bajo; 4 Hora(s); Otros
PPL 526; 6529547504; Dario Julian Cuenca Espinosa; 52; 35; 29/10/1991; 29/10/2026; 2; 4(D); D86; Bajo; 4 Hora(s); Otros
PPL 527; 8150490595; Carlos Adrian Gonzales Roman; 41; 8; 16/12/2017; 16/12/2025; 1; 4(D); D87; Bajo; 4 Hora(s); Invasion
PPL 528; 9742732344; Roberto Sergio Cuenca Roman; 44; 24; 06/05/2022; 06/05/2046; 22; 4(D); D88; Bajo; 4 Hora(s); Otros
PPL 529; 5926233849; Dario Antonio Romero Ramirez; 56; 39; 15/07/1987; 15/07/2026; 2; 4(D); D89; Bajo; 4 Hora(s); Otros
PPL 530; 3648818662; Pedro Antonio Perero Rivera; 27; 8; 29/06/2023; 29/06/2031; 7; 4(D); D90; Bajo; 4 Hora(s); Estafa
PPL 531; 7603670833; Gonzalo Julian Cuenca Morales; 39; 22; 10/07/2004; 10/07/2026; 2; 4(D); D1; Bajo; 4 Hora(s); Estafa
PPL 532; 2498895186; Roberto Adrian Romero Roman; 25; 29; 19/08/2019; 19/08/2048; 24; 4(D); D2; Bajo; 4 Hora(s); Amenazas
PPL 533; 6312354165; Mario Julian Cevallos Sanchez; 40; 21; 03/05/2005; 03/05/2026; 2; 4(D); D3; Bajo; 4 Hora(s); Amenazas
PPL 534; 1046572778; Mario Adrian Perero Gomez; 42; 21; 17/06/2013; 17/06/2034; 10; 4(D); D4; Bajo; 4 Hora(s); Otros
PPL 535; 8451158796; Victor Angel Garcia Morales; 32; 26; 08/11/2013; 08/11/2039; 15; 4(D); D5; Bajo; 4 Hora(s); Estafa
PPL 536; 3802967145; Mario Antonio Paredes Morales; 40; 29; 27/05/2015; 27/05/2044; 20; 4(D); D6; Bajo; 4 Hora(s); Invasion
PPL 537; 1453471109; Victor Cesar Romero Rivera; 54; 34; 10/11/1992; 10/11/2026; 2; 4(D); D7; Bajo; 4 Hora(s); Amenazas
PPL 538; 1270575485; Carlos Antonio Romero Sanchez; 41; 25; 15/06/2003; 15/06/2028; 4; 4(D); D8; Bajo; 4 Hora(s); Invasion
PPL 539; 1892993154; Roberto Angel Gonzales Gomez; 48; 23; 30/07/2022; 30/07/2045; 21; 4(D); D9; Bajo; 4 Hora(s); Amenazas
PPL 540; 7832317734; Mario Adrian Torres Sanchez; 50; 27; 01/06/2003; 01/06/2030; 6; 4(D); D10; Bajo; 4 Hora(s); Invasion
PPL 541; 2997296288; Pedro Paulo Romero Roman; 30; 20; 03/05/2016; 03/05/2036; 12; 4(D); D11; Bajo; 4 Hora(s); Estafa
PPL 542; 8632296266; Mario Diego Guerrero Hidalgo; 55; 39; 20/10/1989; 20/10/2028; 4; 4(D); D12; Bajo; 4 Hora(s); Invasion
PPL 543; 4151542056; Roberto Cesar Perero Rivera; 55; 39; 28/02/1991; 28/02/2030; 6; 4(D); D13; Bajo; 4 Hora(s); Otros
PPL 544; 1656229253; Roberto Sergio Guerrero Rivera; 57; 40; 01/02/1986; 01/02/2026; 2; 4(D); D14; Bajo; 4 Hora(s); Invasion
PPL 545; 8773973471; Pedro Sergio Paredes Sanchez; 51; 35; 23/04/1992; 23/04/2027; 3; 4(D); D15; Bajo; 4 Hora(s); Estafa
PPL 546; 4894848421; Roberto Angel Romero Rivera; 49; 25; 12/01/2005; 12/01/2030; 6; 4(D); D16; Bajo; 4 Hora(s); Estafa
PPL 547; 2248257113; Carlos Cesar Paredes Gomez; 52; 38; 10/06/1991; 10/06/2029; 5; 4(D); D17; Bajo; 4 Hora(s); Invasion
PPL 548; 8143433034; Mario Antonio Paredes Espinosa; 42; 25; 07/11/2003; 07/11/2028; 4; 4(D); D18; Bajo; 4 Hora(s); Amenazas
PPL 549; 8899370308; Mario Cesar Cevallos Ramirez; 34; 22; 28/05/2012; 28/05/2034; 10; 4(D); D19; Bajo; 4 Hora(s); Otros
PPL 550; 6263815927; Mario Julian Garcia Rivera; 60; 42; 10/11/1985; 10/11/2027; 3; 4(D); D20; Bajo; 4 Hora(s); Otros
PPL 551; 6856077754; Roberto Diego Romero Reyes; 63; 48; 30/01/1980; 30/01/2028; 4; 4(D); D21; Bajo; 4 Hora(s); Estafa
PPL 552; 5069345573; Victor Adrian Paredes Rivera; 57; 39; 19/08/1987; 19/08/2026; 2; 4(D); D22; Bajo; 4 Hora(s); Invasion
PPL 553; 4505292165; Michael Diego Paredes Rivera; 40; 20; 10/04/2006; 10/04/2026; 2; 4(D); D23; Bajo; 4 Hora(s); Invasion
PPL 554; 8279723024; Michael Sergio Cevallos Hidalgo; 49; 24; 06/07/2004; 06/07/2028; 4; 4(D); D24; Bajo; 4 Hora(s); Invasion
PPL 555; 5872930664; Mario Paulo Gonzales Sanchez; 50; 18; 07/11/2013; 07/11/2031; 7; 4(D); D25; Bajo; 4 Hora(s); Otros
PPL 556; 5684122122; Fabian Antonio Cuenca Ramirez; 41; 28; 28/03/2002; 28/03/2030; 6; 4(D); D26; Bajo; 4 Hora(s); Estafa
PPL 557; 5061792853; Roberto Cesar Perero Rivera; 30; 23; 31/06/2022; 31/06/2045; 21; 4(D); D27; Bajo; 4 Hora(s); Amenazas
PPL 558; 5889397211; Mario Cesar Cuenca Reyes; 47; 9; 03/05/2019; 03/05/2028; 4; 4(D); D28; Bajo; 4 Hora(s); Otros
PPL 559; 2053748896; Carlos Paulo Paredes Sanchez; 40; 22; 09/08/2006; 09/08/2028; 4; 4(D); D29; Bajo; 4 Hora(s); Otros
PPL 560; 2599299604; Pedro Antonio Paredes Sanchez; 42; 20; 15/12/2016; 15/12/2036; 12; 4(D); D30; Bajo; 4 Hora(s); Invasion
PPL 561; 8551558697; Fabian Pablo Guerrero Sanchez; 46; 30; 30/06/1998; 30/06/2028; 4; 4(D); D31; Bajo; 4 Hora(s); Invasion
PPL 562; 7922157225; Victor Paulo Cevallos Hidalgo; 56; 37; 03/05/1990; 03/05/2027; 3; 4(D); D32; Bajo; 4 Hora(s); Invasion
PPL 563; 4930257766; Gonzalo Diego Cuenca Sanchez; 62; 46; 17/12/1983; 17/12/2029; 5; 4(D); D33; Bajo; 4 Hora(s); Invasion
PPL 564; 1686840975; Pedro Sergio Cuenca Sanchez; 42; 25; 19/08/2005; 19/08/2030; 6; 4(D); D34; Bajo; 4 Hora(s); Otros
PPL 565; 7047164939; Michael Angel Paredes Morales; 62; 46; 12/07/1984; 12/07/2030; 6; 4(D); D35; Bajo; 4 Hora(s); Estafa
PPL 566; 3488511865; Gonzalo Pablo Garcia Ramirez; 37; 23; 20/02/2007; 20/02/2030; 6; 4(D); D36; Bajo; 4 Hora(s); Estafa
PPL 567; 2680679413; Dario Antonio Paredes Espinosa; 52; 36; 27/08/1991; 27/08/2027; 3; 4(D); D37; Bajo; 4 Hora(s); Estafa
PPL 568; 5526849473; Mario Julian Cuenca Hidalgo; 46; 28; 31/05/2000; 31/05/2028; 4; 4(D); D38; Bajo; 4 Hora(s); Estafa
PPL 569; 8434745784; Roberto Angel Perero Ramirez; 54; 40; 05/02/1989; 05/02/2029; 5; 4(D); D39; Bajo; 4 Hora(s); Otros
PPL 570; 2255855155; Dario Paulo Guerrero Hidalgo; 47; 13; 07/12/2013; 07/12/2026; 2; 4(D); D40; Bajo; 4 Hora(s); Amenazas
PPL 571; 4926817475; Gonzalo Diego Paredes Ramirez; 47; 30; 27/12/1996; 27/12/2026; 2; 4(D); D41; Bajo; 4 Hora(s); Estafa
PPL 572; 6410897986; Pedro Cesar Garcia Hidalgo; 31; 12; 17/04/2014; 17/04/2026; 2; 4(D); D42; Bajo; 4 Hora(s); Amenazas
PPL 573; 4209833041; Carlos Cesar Romero Sanchez; 43; 28; 03/05/2002; 03/05/2030; 6; 4(D); D43; Bajo; 4 Hora(s); Amenazas
PPL 574; 2502498650; Fabian Paulo Paredes Rivera; 34; 19; 10/03/2009; 10/03/2028; 4; 4(D); D44; Bajo; 4 Hora(s); Otros
PPL 575; 6421048505; Michael Cesar Perero Hidalgo; 58; 39; 04/12/1988; 04/12/2027; 3; 4(D); D45; Bajo; 4 Hora(s); Amenazas
PPL 576; 6111977135; Dario Angel Garcia Espinosa; 46; 30; 06/03/2000; 06/03/2030; 6; 4(D); D46; Bajo; 4 Hora(s); Amenazas
PPL 577; 4735019007; Victor Paulo Paredes Roman; 62; 49; 06/06/1981; 06/06/2030; 6; 4(D); D47; Bajo; 4 Hora(s); Amenazas
PPL 578; 4398883382; Dario Diego Torres Espinosa; 39; 8; 04/10/2024; 04/10/2032; 8; 4(D); D48; Bajo; 4 Hora(s); Amenazas
PPL 579; 3148866226; Roberto Pablo Guerrero Morales; 52; 36; 03/05/1994; 03/05/2030; 6; 4(D); D49; Bajo; 4 Hora(s); Invasion
PPL 580; 9804824709; Fabian Julian Perero Gomez; 52; 37; 29/02/1993; 29/02/2030; 6; 4(D); D50; Bajo; 4 Hora(s); Otros
PPL 581; 4308963402; Dario Sergio Guerrero Roman; 32; 25; 20/09/2014; 20/09/2039; 15; 4(D); D51; Bajo; 4 Hora(s); Amenazas
PPL 582; 8015325548; Dario Paulo Torres Reyes; 42; 13; 30/09/2015; 30/09/2028; 4; 4(D); D52; Bajo; 4 Hora(s); Invasion
PPL 583; 5414371112; Pedro Julian Paredes Sanchez; 49; 6; 24/12/2023; 24/12/2029; 5; 4(D); D53; Bajo; 4 Hora(s); Otros
PPL 584; 6839682028; Roberto Sergio Guerrero Rivera; 40; 6; 18/11/2022; 18/11/2028; 4; 4(D); D54; Bajo; 4 Hora(s); Invasion
PPL 585; 1942025243; Gonzalo Pablo Romero Espinosa; 56; 40; 23/08/1990; 23/08/2030; 6; 4(D); D55; Bajo; 4 Hora(s); Amenazas
PPL 586; 9885693401; Mario Angel Romero Sanchez; 36; 23; 12/09/2017; 12/09/2040; 16; 4(D); D56; Bajo; 4 Hora(s); Otros
PPL 587; 3737186538; Roberto Antonio Romero Sanchez; 41; 19; 05/08/2010; 05/08/2029; 5; 4(D); D57; Bajo; 4 Hora(s); Estafa
PPL 588; 7391125538; Mario Antonio Cevallos Sanchez; 40; 19; 18/10/2024; 18/10/2043; 19; 4(D); D58; Bajo; 4 Hora(s); Estafa
PPL 589; 7764735037; Mario Adrian Guerrero Hidalgo; 43; 21; 19/02/2010; 19/02/2031; 7; 4(D); D59; Bajo; 4 Hora(s); Amenazas
PPL 590; 5204234295; Carlos Antonio Garcia Sanchez; 29; 14; 11/04/2015; 11/04/2029; 5; 4(D); D60; Bajo; 4 Hora(s); Otros
PPL 591; 7824997428; Fabian Pablo Paredes Sanchez; 39; 25; 05/06/2004; 05/06/2029; 5; 4(D); D61; Bajo; 4 Hora(s); Estafa
PPL 592; 8029246506; Fabian Angel Guerrero Roman; 53; 37; 14/10/1990; 14/10/2027; 3; 4(D); D62; Bajo; 4 Hora(s); Estafa
PPL 593; 3284052013; Pedro Adrian Gonzales Sanchez; 64; 46; 20/04/1980; 20/04/2026; 2; 4(D); D63; Bajo; 4 Hora(s); Amenazas
PPL 594; 4980586522; Mario Julian Paredes Morales; 62; 45; 22/08/1981; 22/08/2026; 2; 4(D); D64; Bajo; 4 Hora(s); Invasion
PPL 595; 1825279312; Pedro Antonio Paredes Morales; 37; 20; 01/11/2006; 01/11/2026; 2; 4(D); D65; Bajo; 4 Hora(s); Estafa
PPL 596; 4787259225; Roberto Cesar Romero Rivera; 33; 19; 02/05/2010; 02/05/2029; 5; 4(D); D66; Bajo; 4 Hora(s); Invasion
PPL 597; 6165827206; Mario Angel Gonzales Ramirez; 55; 35; 26/10/1991; 26/10/2026; 2; 4(D); D67; Bajo; 4 Hora(s); Otros
PPL 598; 7652136899; Pedro Cesar Guerrero Roman; 25; 10; 02/06/2018; 02/06/2028; 4; 4(D); D68; Bajo; 4 Hora(s); Estafa
PPL 599; 3695128044; Roberto Pablo Garcia Espinosa; 53; 37; 17/02/1992; 17/02/2029; 5; 4(D); D69; Bajo; 4 Hora(s); Amenazas
PPL 600; 3362566546; Roberto Angel Perero Gomez; 54; 35; 05/02/1991; 05/02/2026; 2; 4(D); D70; Bajo; 4 Hora(s); Otros
PPL 601; 5028353316; Roberto Cesar Perero Gomez; 54; 37; 19/09/1989; 19/09/2026; 2; 4(D); D71; Bajo; 4 Hora(s); Otros
PPL 602; 2056345418; Gonzalo Antonio Perero Roman; 44; 30; 02/01/2000; 02/01/2030; 6; 4(D); D72; Bajo; 4 Hora(s); Otros
PPL 603; 4316113073; Carlos Sergio Perero Ramirez; 37; 18; 01/06/2010; 01/06/2028; 4; 4(D); D73; Bajo; 4 Hora(s); Otros
PPL 604; 5366779537; Victor Paulo Cuenca Roman; 54; 40; 31/04/1989; 31/04/2029; 5; 4(D); D74; Bajo; 4 Hora(s); Estafa
PPL 605; 9530784958; Mario Paulo Paredes Hidalgo; 49; 21; 27/12/2007; 27/12/2028; 4; 4(D); D75; Bajo; 4 Hora(s); Amenazas
PPL 606; 8837433072; Victor Sergio Torres Reyes; 49; 16; 01/10/2012; 01/10/2028; 4; 4(D); D76; Bajo; 4 Hora(s); Invasion
PPL 607; 5730829345; Victor Adrian Garcia Roman; 58; 40; 11/08/1987; 11/08/2027; 3; 4(D); D77; Bajo; 4 Hora(s); Amenazas
PPL 608; 5856492795; Pedro Adrian Romero Sanchez; 42; 24; 17/09/2002; 17/09/2026; 2; 4(D); D78; Bajo; 4 Hora(s); Amenazas
PPL 609; 3769296879; Dario Antonio Garcia Morales; 30; 11; 22/02/2017; 22/02/2028; 4; 4(D); D79; Bajo; 4 Hora(s); Invasion
PPL 610; 7431937786; Roberto Sergio Paredes Espinosa; 42; 26; 05/11/2001; 05/11/2027; 3; 4(D); D80; Bajo; 4 Hora(s); Invasion
PPL 611; 1701576188; Fabian Adrian Paredes Rivera; 42; 28; 18/06/2001; 18/06/2029; 5; 4(D); D81; Bajo; 4 Hora(s); Otros
PPL 612; 3588398876; Fabian Antonio Paredes Sanchez; 43; 22; 01/11/2010; 01/11/2032; 8; 4(D); D82; Bajo; 4 Hora(s); Amenazas
PPL 613; 7717538542; Michael Antonio Perero Rivera; 38; 29; 06/07/2008; 06/07/2037; 13; 4(D); D83; Bajo; 4 Hora(s); Invasion
PPL 614; 3486691576; Mario Cesar Cevallos Reyes; 52; 37; 05/07/1992; 05/07/2029; 5; 4(D); D84; Bajo; 4 Hora(s); Invasion
PPL 615; 7342313011; Roberto Cesar Paredes Gomez; 43; 30; 16/09/2008; 16/09/2038; 14; 4(D); D85; Bajo; 4 Hora(s); Estafa
PPL 616; 9673357723; Fabian Antonio Guerrero Hidalgo; 50; 17; 15/07/2015; 15/07/2032; 8; 4(D); D86; Bajo; 4 Hora(s); Amenazas
PPL 617; 3188547175; Roberto Paulo Cevallos Hidalgo; 60; 41; 06/11/1986; 06/11/2027; 3; 4(D); D87; Bajo; 4 Hora(s); Invasion
PPL 618; 7266086645; Gonzalo Diego Torres Espinosa; 60; 46; 08/05/1984; 08/05/2030; 6; 4(D); D88; Bajo; 4 Hora(s); Amenazas
PPL 619; 3550625617; Pedro Antonio Romero Morales; 42; 27; 05/02/2003; 05/02/2030; 6; 4(D); D89; Bajo; 4 Hora(s); Estafa
PPL 620; 6516429809; Gonzalo Adrian Gonzales Gomez; 42; 25; 25/12/2003; 25/12/2028; 4; 4(D); D90; Bajo; 4 Hora(s); Amenazas
PPL 621; 5640752422; Victor Adrian Garcia Reyes; 54; 36; 14/02/1990; 14/02/2026; 2; 5(E); E1; Bajo; 4 Hora(s); Amenazas
PPL 622; 2205930646; Roberto Cesar Gonzales Ramirez; 44; 19; 06/03/2008; 06/03/2027; 3; 5(E); E2; Bajo; 4 Hora(s); Estafa
PPL 623; 6605636596; Michael Sergio Garcia Gomez; 32; 17; 04/05/2017; 04/05/2034; 10; 5(E); E3; Bajo; 4 Hora(s); Estafa
PPL 624; 9406873510; Roberto Cesar Gonzales Hidalgo; 40; 13; 16/02/2014; 16/02/2027; 3; 5(E); E4; Bajo; 4 Hora(s); Otros
PPL 625; 6771990685; Gonzalo Antonio Gonzales Sanchez; 39; 9; 13/07/2023; 13/07/2032; 8; 5(E); E5; Bajo; 4 Hora(s); Amenazas
PPL 626; 3041132549; Carlos Julian Garcia Sanchez; 46; 17; 04/08/2010; 04/08/2027; 3; 5(E); E6; Bajo; 4 Hora(s); Estafa
PPL 627; 7021419868; Pedro Antonio Gonzales Hidalgo; 46; 27; 18/01/2002; 18/01/2029; 5; 5(E); E7; Bajo; 4 Hora(s); Invasion
PPL 628; 6946470383; Fabian Paulo Garcia Gomez; 54; 40; 24/09/1990; 24/09/2030; 6; 5(E); E8; Bajo; 4 Hora(s); Amenazas
PPL 629; 1645056816; Fabian Diego Romero Espinosa; 21; 29; 17/04/2024; 17/04/2053; 29; 5(E); E9; Bajo; 4 Hora(s); Otros
PPL 630; 7853113864; Roberto Antonio Cuenca Rivera; 54; 40; 03/03/1989; 03/03/2029; 5; 5(E); E10; Bajo; 4 Hora(s); Estafa
PPL 631; 1540348398; Roberto Angel Torres Rivera; 46; 33; 22/12/1997; 22/12/2030; 6; 5(E); E11; Bajo; 4 Hora(s); Invasion
PPL 632; 9265724925; Victor Paulo Guerrero Espinosa; 28; 25; 25/11/2016; 25/11/2041; 17; 5(E); E12; Bajo; 4 Hora(s); Invasion
PPL 633; 9998576104; Gonzalo Antonio Cevallos Roman; 38; 19; 06/09/2007; 06/09/2026; 2; 5(E); E13; Bajo; 4 Hora(s); Amenazas
PPL 634; 2032463467; Victor Julian Cevallos Gomez; 44; 5; 04/03/2022; 04/03/2027; 3; 5(E); E14; Bajo; 4 Hora(s); Otros
PPL 635; 2009997969; Carlos Antonio Paredes Reyes; 60; 43; 19/11/1984; 19/11/2027; 3; 5(E); E15; Bajo; 4 Hora(s); Otros
PPL 636; 2743456430; Dario Julian Cuenca Sanchez; 46; 29; 28/03/1997; 28/03/2026; 2; 5(E); E16; Bajo; 4 Hora(s); Estafa
PPL 637; 3645689061; Mario Adrian Paredes Ramirez; 66; 50; 25/07/1980; 25/07/2030; 6; 5(E); E17; Bajo; 4 Hora(s); Estafa
PPL 638; 3209134184; Fabian Antonio Gonzales Sanchez; 51; 35; 01/01/1992; 01/01/2027; 3; 5(E); E18; Bajo; 4 Hora(s); Estafa
PPL 639; 6258412810; Pedro Paulo Paredes Reyes; 45; 18; 01/03/2016; 01/03/2034; 10; 5(E); E19; Bajo; 4 Hora(s); Otros
PPL 640; 8641843851; Mario Diego Cuenca Espinosa; 30; 26; 31/09/2021; 31/09/2047; 23; 5(E); E20; Bajo; 4 Hora(s); Invasion
PPL 641; 5516457204; Victor Antonio Guerrero Rivera; 43; 21; 27/04/2006; 27/04/2027; 3; 5(E); E21; Bajo; 4 Hora(s); Amenazas
PPL 642; 3306865243; Fabian Paulo Perero Espinosa; 56; 41; 31/05/1988; 31/05/2029; 5; 5(E); E22; Bajo; 4 Hora(s); Otros
PPL 643; 8434561434; Roberto Antonio Garcia Hidalgo; 40; 23; 28/06/2004; 28/06/2027; 3; 5(E); E23; Bajo; 4 Hora(s); Invasion
PPL 644; 3827078469; Carlos Sergio Garcia Espinosa; 60; 44; 05/08/1984; 05/08/2028; 4; 5(E); E24; Bajo; 4 Hora(s); Invasion
PPL 645; 6446658108; Fabian Pablo Cuenca Morales; 29; 19; 29/12/2016; 29/12/2035; 11; 5(E); E25; Bajo; 4 Hora(s); Invasion
PPL 646; 8512043106; Mario Julian Cuenca Roman; 63; 47; 27/12/1980; 27/12/2027; 3; 5(E); E26; Bajo; 4 Hora(s); Invasion
PPL 647; 2386910672; Roberto Diego Paredes Reyes; 63; 45; 19/03/1981; 19/03/2026; 2; 5(E); E27; Bajo; 4 Hora(s); Invasion
PPL 648; 4606818400; Carlos Diego Paredes Sanchez; 44; 30; 07/01/2000; 07/01/2030; 6; 5(E); E28; Bajo; 4 Hora(s); Estafa
PPL 649; 5812411041; Carlos Paulo Cuenca Hidalgo; 50; 33; 10/02/1995; 10/02/2028; 4; 5(E); E29; Bajo; 4 Hora(s); Otros
PPL 650; 1777390232; Mario Antonio Torres Hidalgo; 33; 24; 09/01/2014; 09/01/2038; 14; 5(E); E30; Bajo; 4 Hora(s); Invasion
PPL 651; 5995874573; Gonzalo Antonio Cevallos Sanchez; 57; 40; 10/07/1986; 10/07/2026; 2; 5(E); E31; Bajo; 4 Hora(s); Amenazas
PPL 652; 4275665605; Victor Julian Guerrero Morales; 49; 23; 05/01/2005; 05/01/2028; 4; 5(E); E32; Bajo; 4 Hora(s); Amenazas
PPL 653; 6825358430; Michael Antonio Paredes Rivera; 37; 22; 01/01/2006; 01/01/2028; 4; 5(E); E33; Bajo; 4 Hora(s); Amenazas
PPL 654; 6127349230; Carlos Pablo Perero Gomez; 44; 10; 27/01/2018; 27/01/2028; 4; 5(E); E34; Bajo; 4 Hora(s); Otros
PPL 655; 1464489380; Gonzalo Diego Garcia Rivera; 52; 37; 16/08/1991; 16/08/2028; 4; 5(E); E35; Bajo; 4 Hora(s); Amenazas
PPL 656; 6833773775; Gonzalo Julian Romero Sanchez; 31; 29; 15/12/2019; 15/12/2048; 24; 5(E); E36; Bajo; 4 Hora(s); Estafa
PPL 657; 6785438009; Carlos Julian Romero Reyes; 61; 44; 05/11/1984; 05/11/2028; 4; 5(E); E37; Bajo; 4 Hora(s); Estafa
PPL 658; 5807697029; Gonzalo Antonio Garcia Reyes; 64; 46; 21/02/1980; 21/02/2026; 2; 5(E); E38; Bajo; 4 Hora(s); Estafa
PPL 659; 4192645975; Victor Paulo Torres Sanchez; 66; 49; 13/03/1980; 13/03/2029; 5; 5(E); E39; Bajo; 4 Hora(s); Estafa
PPL 660; 5150093407; Fabian Paulo Cuenca Morales; 53; 35; 08/11/1993; 08/11/2028; 4; 5(E); E40; Bajo; 4 Hora(s); Estafa
PPL 661; 6824916963; Victor Sergio Paredes Gomez; 53; 38; 15/04/1990; 15/04/2028; 4; 5(E); E41; Bajo; 4 Hora(s); Otros
PPL 662; 7163051031; Pedro Julian Paredes Rivera; 59; 43; 15/06/1987; 15/06/2030; 6; 5(E); E42; Bajo; 4 Hora(s); Amenazas
PPL 663; 6571288017; Fabian Sergio Perero Rivera; 52; 38; 03/04/1992; 03/04/2030; 6; 5(E); E43; Bajo; 4 Hora(s); Invasion
PPL 664; 6375987713; Pedro Sergio Paredes Ramirez; 39; 19; 23/03/2006; 23/03/2025; 1; 5(E); E44; Bajo; 4 Hora(s); Invasion
PPL 665; 4855197652; Mario Sergio Cuenca Espinosa; 61; 46; 08/10/1984; 08/10/2030; 6; 5(E); E45; Bajo; 4 Hora(s); Invasion
PPL 666; 9801587562; Fabian Cesar Gonzales Hidalgo; 64; 49; 29/11/1980; 29/11/2029; 5; 5(E); E46; Bajo; 4 Hora(s); Amenazas
PPL 667; 4814788738; Dario Diego Gonzales Reyes; 42; 5; 11/08/2024; 11/08/2029; 5; 5(E); E47; Bajo; 4 Hora(s); Estafa
PPL 668; 2436419191; Roberto Antonio Cevallos Espinosa; 57; 40; 28/09/1989; 28/09/2029; 5; 5(E); E48; Bajo; 4 Hora(s); Estafa
PPL 669; 9763169667; Mario Antonio Paredes Sanchez; 49; 33; 24/03/1994; 24/03/2027; 3; 5(E); E49; Bajo; 4 Hora(s); Estafa
PPL 670; 3240529120; Fabian Julian Cuenca Gomez; 43; 20; 28/07/2006; 28/07/2026; 2; 5(E); E50; Bajo; 4 Hora(s); Otros
PPL 671; 3840323138; Roberto Angel Romero Espinosa; 47; 26; 27/09/2007; 27/09/2033; 9; 5(E); E51; Bajo; 4 Hora(s); Invasion
PPL 672; 1921387589; Carlos Angel Paredes Roman; 54; 35; 21/01/1991; 21/01/2026; 2; 5(E); E52; Bajo; 4 Hora(s); Otros
PPL 673; 9036346103; Carlos Julian Torres Roman; 55; 37; 11/05/1991; 11/05/2028; 4; 5(E); E53; Bajo; 4 Hora(s); Otros
PPL 674; 7373155882; Dario Angel Paredes Morales; 51; 36; 18/10/1993; 18/10/2029; 5; 5(E); E54; Bajo; 4 Hora(s); Amenazas
PPL 675; 5578932171; Carlos Julian Cevallos Morales; 64; 47; 02/04/1982; 02/04/2029; 5; 5(E); E55; Bajo; 4 Hora(s); Amenazas
PPL 676; 7687021496; Fabian Sergio Paredes Espinosa; 59; 44; 22/08/1984; 22/08/2028; 4; 5(E); E56; Bajo; 4 Hora(s); Otros
PPL 677; 4448190906; Roberto Sergio Perero Reyes; 65; 48; 12/09/1980; 12/09/2028; 4; 5(E); E57; Bajo; 4 Hora(s); Estafa
PPL 678; 6149843034; Michael Cesar Gonzales Gomez; 46; 22; 28/09/2004; 28/09/2026; 2; 5(E); E58; Bajo; 4 Hora(s); Otros
PPL 679; 6376389177; Roberto Diego Paredes Sanchez; 34; 16; 15/06/2012; 15/06/2028; 4; 5(E); E59; Bajo; 4 Hora(s); Estafa
PPL 680; 6935742498; Gonzalo Julian Paredes Morales; 64; 45; 31/09/1982; 31/09/2027; 3; 5(E); E60; Bajo; 4 Hora(s); Otros
PPL 681; 7434820211; Roberto Antonio Perero Sanchez; 35; 19; 25/11/2008; 25/11/2027; 3; 5(E); E61; Bajo; 4 Hora(s); Estafa
PPL 682; 4552364013; Gonzalo Antonio Paredes Hidalgo; 27; 6; 21/12/2024; 21/12/2030; 6; 5(E); E62; Bajo; 4 Hora(s); Invasion
PPL 683; 4363912257; Victor Julian Gonzales Gomez; 59; 42; 28/08/1987; 28/08/2029; 5; 5(E); E63; Bajo; 4 Hora(s); Estafa
PPL 684; 6750916439; Gonzalo Cesar Cuenca Morales; 29; 13; 12/06/2016; 12/06/2029; 5; 5(E); E64; Bajo; 4 Hora(s); Otros
